Problem,Feedback,n,Block,Ha,pHa,La,Hb,pHb,Lb,LotShapeB,LotNumB,Amb,Corr,bRate,bRate_std
83,False,16,1,23,1.0,23,50,0.2,16,1,4,True,0,0.85,0.2476556749467561
84,True,16,3,-9,1.0,-9,-2,0.99,-17,0,1,False,0,0.8500000000000002,0.2129162589689509
85,True,18,4,27,1.0,27,37,0.5,6,1,4,True,0,0.4666666666666666,0.3629940851892121
86,True,16,3,17,1.0,17,12,0.4,9,3,3,False,0,0.15,0.2129162589689509
87,True,16,2,-2,1.0,-2,7,0.4,4,3,6,False,0,0.7875,0.26801741236966925
88,False,16,1,20,1.0,20,52,0.2,16,0,1,False,0,0.75,0.2683281572999748
89,True,16,2,11,1.0,11,35,0.25,1,0,1,False,0,0.4125,0.3537890143385838
90,True,17,2,43,0.75,-16,37,0.4,4,1,6,False,0,0.4117647058823529,0.42702803324427147
91,False,16,1,-8,0.99,-40,53,0.1,-15,1,8,False,0,0.7124999999999999,0.3344149119482165
92,False,16,1,14,1.0,14,31,0.5,1,0,1,False,0,0.7,0.3183289703016886
92,True,15,4,14,1.0,14,31,0.5,1,0,1,False,0,0.6933333333333334,0.3614784456460256
93,True,18,5,60,0.6,-23,40,0.1,31,1,8,False,1,0.5666666666666668,0.3834824944236852
94,False,16,1,6,1.0,6,51,0.4,-25,1,6,True,0,0.55,0.409878030638384
94,True,16,5,6,1.0,6,51,0.4,-25,1,6,True,0,0.5749999999999998,0.3568379650952703
95,True,16,2,6,1.0,6,13,0.4,1,0,1,False,0,0.475,0.32557641192199416
96,True,18,2,24,1.0,24,33,0.75,-6,0,1,False,0,0.5555555555555556,0.4032547322536553
97,False,16,1,88,0.25,-41,-6,0.75,-35,1,6,False,0,0.225,0.2816617356570348
97,True,15,3,88,0.25,-41,-6,0.75,-35,1,6,False,0,0.5733333333333334,0.384460041889302
98,True,16,3,6,1.0,6,24,0.6,-40,1,6,False,0,0.5625,0.4333974311568233
99,True,17,2,19,1.0,19,19,0.99,5,1,4,False,0,0.4352941176470588,0.431481715242066
100,False,16,1,-5,1.0,-5,6,0.8,-14,0,1,False,0,0.7875,0.3138470965295043
101,True,16,5,6,0.1,0,17,0.5,-10,0,1,False,-1,0.6749999999999999,0.3492849839314596
102,False,16,1,18,0.99,-17,22,0.95,-17,0,1,False,0,0.7125,0.36492008257516695
103,True,18,3,16,1.0,16,25,0.25,14,1,8,True,0,0.8222222222222223,0.2462795053820797
104,True,16,3,-1,1.0,-1,57,0.1,-16,1,8,False,0,0.4,0.3864367132317184
105,True,16,5,5,1.0,5,22,0.05,8,2,6,False,0,0.8625,0.25
106,True,17,4,26,1.0,26,49,0.25,9,1,4,False,0,0.5764705882352942,0.4054772061483633
107,True,17,3,-8,1.0,-8,11,0.01,-6,0,1,False,0,0.8941176470588235,0.2014652210534554
108,False,16,1,63,0.25,3,19,0.8,12,0,1,False,-1,0.4875,0.4379878232706171
108,True,15,4,63,0.25,3,19,0.8,12,0,1,False,-1,0.37333333333333335,0.41311822359545786
109,False,16,1,16,0.01,4,58,0.2,-9,0,1,False,0,0.275,0.3991657967979387
110,False,16,1,69,0.1,13,40,0.25,19,2,5,False,0,0.6625000000000001,0.32429410519876345
110,True,15,2,69,0.1,13,40,0.25,19,2,5,False,0,0.8266666666666667,0.2711527420547495
111,True,17,2,25,0.01,-3,45,0.1,-5,1,2,False,1,0.5882352941176472,0.39667737668850056
112,True,16,5,18,0.8,-47,19,0.99,10,1,6,True,0,0.925,0.14375905768565214
113,False,16,1,48,0.6,-9,42,0.6,-23,0,1,True,0,0.425,0.3924283374069717
113,True,17,3,48,0.6,-9,42,0.6,-23,0,1,True,0,0.15294117647058825,0.2294494689981421
114,False,16,1,11,1.0,11,23,0.4,4,3,3,True,0,0.6624999999999999,0.41129875597510224
114,True,17,2,11,1.0,11,23,0.4,4,3,3,True,0,0.5411764705882353,0.3857765278134023
115,False,16,1,25,1.0,25,42,0.8,-22,0,1,False,0,0.325,0.29097537123726924
115,True,16,5,25,1.0,25,42,0.8,-22,0,1,False,0,0.6375000000000001,0.33640253665313924
116,False,33,1,6,1.0,6,77,0.01,2,1,2,False,0,0.5333333333333332,0.3796928583298173
116,True,16,4,6,1.0,6,77,0.01,2,1,2,False,0,0.3375,0.4047633053197057
117,False,16,1,34,0.75,18,41,0.5,37,1,2,True,0,0.7,0.35777087639996635
118,True,17,2,-3,1.0,-3,31,0.01,1,0,1,False,0,0.9882352941176472,0.04850712500726661
119,False,16,1,31,0.4,4,15,1.0,15,3,6,False,0,0.425,0.4187282332651254
119,True,15,5,31,0.4,4,15,1.0,15,3,6,False,0,0.5333333333333333,0.4386125310350269
120,False,16,1,6,1.0,6,23,0.8,-13,0,1,False,0,0.775,0.2720294101747089
120,True,15,3,6,1.0,6,23,0.8,-13,0,1,False,0,0.7066666666666668,0.3614784456460256
121,False,16,1,-2,1.0,-2,72,0.25,-17,0,1,True,0,0.7625000000000001,0.3364025366531392
121,True,15,5,-2,1.0,-2,72,0.25,-17,0,1,True,0,0.4933333333333334,0.4061433010064071
122,True,17,2,32,0.8,-34,17,0.2,9,0,1,False,0,0.29411764705882354,0.3543843045256345
123,True,16,2,-2,1.0,-2,-1,0.75,-4,0,1,False,0,0.7625,0.2753785273643051
124,False,16,1,38,0.05,3,24,0.6,-22,3,2,True,0,0.3125000000000001,0.3930648801406709
124,True,15,3,38,0.05,3,24,0.6,-22,3,2,True,0,0.4,0.3927922024247863
125,True,19,3,29,1.0,29,111,0.01,36,2,2,False,0,0.8526315789473684,0.2480331990606445
126,False,16,1,7,1.0,7,22,0.01,9,1,8,False,0,0.7374999999999999,0.3774917217635375
126,True,15,5,7,1.0,7,22,0.01,9,1,8,False,0,0.8933333333333333,0.1830950832868254
127,True,18,5,29,0.2,-6,-2,0.8,-6,1,2,False,1,0.25555555555555554,0.3745149368296233
128,False,16,1,21,0.6,-11,20,0.75,-23,3,4,False,0,0.575,0.3991657967979388
128,True,15,3,21,0.6,-11,20,0.75,-23,3,4,False,0,0.7733333333333334,0.31045281828476345
129,True,18,5,-4,1.0,-4,43,0.5,-48,1,4,False,0,0.7777777777777778,0.34223410555719885
130,True,16,2,77,0.1,25,59,0.25,15,0,1,True,0,0.3375,0.33241540277189324
131,False,16,1,98,0.1,-6,4,1.0,4,1,2,False,0,0.65,0.4647580015448901
131,True,16,2,98,0.1,-6,4,1.0,4,1,2,False,0,0.7625000000000001,0.2941088233970548
132,True,18,4,22,0.6,0,16,0.6,12,2,5,True,1,0.6999999999999998,0.32358288328176626
133,True,16,4,10,0.01,-4,72,0.25,-35,3,4,False,0,0.3875000000000001,0.40311288741492746
134,True,16,3,10,1.0,10,42,0.25,-5,2,7,True,0,0.8125000000000001,0.26801741236966925
135,False,16,1,21,1.0,21,90,0.1,16,0,1,False,0,0.5999999999999999,0.4066120181860508
136,False,16,1,28,1.0,28,39,0.25,19,1,2,False,0,0.3375,0.4364630568559039
137,False,16,1,2,0.25,-10,35,0.01,-10,2,7,False,0,0.6124999999999999,0.4161329915623931
137,True,16,2,2,0.25,-10,35,0.01,-10,2,7,False,0,0.45,0.4472135954999579
138,False,16,1,-9,0.8,-15,-10,1.0,-10,1,4,False,0,0.4,0.4258325179379016
138,True,15,5,-9,0.8,-15,-10,1.0,-10,1,4,False,0,0.24,0.30425553170226594
139,True,16,2,21,1.0,21,110,0.25,0,1,8,True,0,0.525,0.3714835124201343
140,False,16,1,27,1.0,27,70,0.5,-9,3,3,False,0,0.4125,0.3304037933599835
140,True,16,2,27,1.0,27,70,0.5,-9,3,3,False,0,0.4875,0.3792536530256938
141,True,16,2,22,1.0,22,72,0.01,27,1,4,False,0,0.9125,0.14548768561863462
142,True,17,2,44,0.4,14,26,1.0,26,0,1,False,0,0.4,0.36055512754639896
143,True,16,3,15,1.0,15,24,0.75,15,3,4,False,0,0.875,0.30876096471758424
144,True,16,5,0,1.0,0,20,0.05,-5,0,1,False,0,0.1375,0.27049337638224463
145,True,17,3,8,1.0,8,11,0.9,7,0,1,False,0,0.7882352941176469,0.3199264621385211
146,False,16,1,30,0.8,-15,23,0.05,17,3,3,False,0,0.7875000000000001,0.3222318006239194
146,True,15,5,30,0.8,-15,23,0.05,17,3,3,False,0,0.5599999999999999,0.39424430424366497
147,False,16,1,-2,1.0,-2,-3,0.75,-6,0,1,False,0,0.2125,0.3304037933599835
148,False,16,1,11,1.0,11,33,0.75,-37,0,1,False,0,0.4375,0.4080441152620633
148,True,15,5,11,1.0,11,33,0.75,-37,0,1,False,0,0.3866666666666667,0.3583028779970269
149,True,18,4,88,0.25,-24,108,0.25,-25,1,2,False,0,0.7555555555555556,0.3601016559450665
150,True,31,2,22,1.0,22,23,0.2,20,2,4,False,0,0.535483870967742,0.40459723767122135
151,False,16,1,31,0.5,5,65,0.4,-4,0,1,False,0,0.2250000000000001,0.2909753712372693
152,True,16,2,25,1.0,25,40,0.05,30,2,6,False,0,0.9375,0.12041594578792295
153,True,16,5,25,1.0,25,38,0.8,22,1,6,False,0,0.7125,0.4256367778595579
154,True,16,2,28,1.0,28,23,0.8,16,1,4,False,0,0.0625,0.25
155,True,16,3,63,0.6,-29,32,0.75,22,1,8,False,0,0.5625,0.31171568242016096
156,False,16,1,-1,0.9,-25,1,0.4,-7,0,1,False,0,0.8124999999999999,0.3138470965295044
157,False,16,1,23,1.0,23,89,0.5,-40,0,1,False,0,0.275,0.2516611478423583
158,True,19,4,35,0.25,-18,48,0.05,-15,0,1,True,0,0.7789473684210527,0.2897871774028908
159,True,16,2,0,1.0,0,3,0.9,-13,0,1,False,0,0.75,0.33862466931200785
160,False,16,1,15,1.0,15,51,0.5,-38,0,1,False,0,0.4,0.4381780460041329
161,False,31,1,29,0.95,2,38,0.4,25,2,4,True,1,0.5741935483870969,0.405764908894698
161,True,15,4,29,0.95,2,38,0.4,25,2,4,True,1,0.8599999999999999,0.17647338933351153
162,True,18,2,6,1.0,6,3,0.5,-1,0,1,True,0,0.13333333333333333,0.2057983021710106
163,True,16,3,22,1.0,22,56,0.4,-8,0,1,False,0,0.3625,0.3364025366531392
164,True,16,4,-2,1.0,-2,6,0.2,-10,3,5,False,0,0.17500000000000002,0.30000000000000004
165,True,16,2,-1,1.0,-1,23,0.05,-3,1,6,False,0,0.525,0.36423435679060623
166,True,16,3,-2,1.0,-2,87,0.2,-20,0,1,False,0,0.7,0.39327683210007
167,False,16,1,3,1.0,3,30,0.5,-16,1,4,False,0,0.7375000000000002,0.3774917217635375
168,True,17,4,-1,0.2,-2,-2,1.0,-2,1,8,False,0,0.5411764705882353,0.4886957431897322
169,True,16,3,27,1.0,27,41,0.25,7,0,1,False,0,0.275,0.3924283374069717
170,True,18,4,30,1.0,30,40,0.75,4,0,1,True,0,0.5666666666666667,0.34470788997608504
171,False,16,1,40,0.5,18,29,1.0,29,1,4,False,0,0.28750000000000003,0.3180670788790734
172,False,16,1,-7,1.0,-7,24,0.5,-32,0,1,False,0,0.7,0.4
172,True,15,2,-7,1.0,-7,24,0.5,-32,0,1,False,0,0.7066666666666667,0.3614784456460255
173,False,16,1,18,0.75,-19,78,0.2,-6,1,6,False,-1,0.6499999999999999,0.3055050463303893
174,False,16,1,-7,1.0,-7,-2,0.8,-48,0,1,True,0,0.25,0.2250925735484551
175,True,16,3,-4,1.0,-4,27,0.05,-8,0,1,False,0,0.2375,0.3364025366531392
176,True,16,4,24,0.5,22,23,1.0,23,1,4,False,0,0.25,0.322490309931942
177,True,16,4,21,0.75,21,115,0.4,-45,0,1,True,0,0.1125,0.2187083293643233
178,True,18,5,13,1.0,13,14,0.95,11,0,1,True,0,0.5333333333333333,0.4058397249567139
179,False,16,1,3,1.0,3,5,0.9,-39,3,4,False,0,0.275,0.32557641192199416
180,True,16,4,-4,1.0,-4,34,0.05,-11,0,1,False,0,0.15,0.2
181,True,16,5,17,1.0,17,17,0.8,-40,2,6,False,0,0.275,0.2720294101747089
182,False,16,1,27,0.8,1,22,0.8,5,0,1,False,1,0.3375000000000001,0.2604483314082341
182,True,15,5,27,0.8,1,22,0.8,5,0,1,False,1,0.1733333333333333,0.21201976547572388
183,True,16,5,1,1.0,1,59,0.2,-14,0,1,False,0,0.2375,0.2446085307860977
184,True,16,3,21,1.0,21,57,0.4,18,1,8,False,0,0.6375000000000001,0.4014556845614055
185,False,16,1,15,0.25,-4,20,0.6,-10,1,4,True,0,0.7250000000000001,0.30000000000000004
185,True,15,5,15,0.25,-4,20,0.6,-10,1,4,True,0,0.7466666666666665,0.3067494712224263
186,False,16,1,67,0.05,15,26,0.5,12,1,2,True,0,0.5874999999999999,0.3757215280851852
186,True,15,5,67,0.05,15,26,0.5,12,1,2,True,0,0.64,0.2848558532711889
187,False,16,1,12,1.0,12,81,0.05,17,0,1,False,0,0.7625,0.33640253665313913
188,True,16,2,-6,1.0,-6,2,0.99,-4,0,1,False,0,0.9125,0.2526525941551627
189,True,16,4,11,1.0,11,21,0.05,15,1,4,False,0,0.775,0.3492849839314596
190,True,16,4,5,0.75,5,41,0.4,-14,0,1,True,0,0.375,0.2516611478423583
191,True,16,2,7,1.0,7,50,0.6,-32,1,8,False,0,0.6,0.3011090610836324
192,False,17,1,28,0.01,2,14,0.1,-2,0,1,False,0,0.2352941176470588,0.3334313581357268
193,False,17,1,10,1.0,10,30,0.5,-16,0,1,True,0,0.3058823529411765,0.33254809470829577
193,True,15,2,10,1.0,10,30,0.5,-16,0,1,True,0,0.28,0.34475664294853386
194,True,16,4,19,0.99,-32,44,0.2,29,2,6,True,1,0.6625,0.3913651321549567
195,True,16,2,5,0.6,-18,51,0.1,-17,0,1,True,0,0.675,0.2909753712372693
196,True,16,5,12,1.0,12,89,0.25,-7,0,1,False,0,0.6375,0.35939764421413045
197,False,17,1,24,1.0,24,79,0.1,15,2,4,True,0,0.8235294117647058,0.1855040827202527
197,True,16,4,24,1.0,24,79,0.1,15,2,4,True,0,0.65,0.28751811537130434
198,True,17,2,17,0.8,12,56,0.4,-14,3,2,False,0,0.4,0.30000000000000004
199,True,16,4,18,1.0,18,25,0.9,-26,1,4,False,0,0.5249999999999999,0.3991657967979388
200,True,16,2,-3,1.0,-3,-7,0.05,-7,1,8,True,0,0.2125,0.32223180062391943
201,True,16,5,-2,1.0,-2,18,0.2,-9,3,3,True,0,0.6874999999999999,0.3095695936834452
202,False,17,1,66,0.05,11,97,0.05,2,1,8,True,1,0.8235294117647057,0.23326329481056884
202,True,16,4,66,0.05,11,97,0.05,2,1,8,True,1,0.55,0.3306559138036599
203,True,16,5,12,0.75,5,22,0.8,-14,0,1,False,1,0.3875,0.3827531841800928
204,True,16,5,12,0.4,-20,30,0.01,4,2,3,False,0,0.825,0.240831891575846
205,True,16,2,27,0.4,17,21,1.0,21,0,1,False,0,0.625,0.3568379650952703
206,True,16,5,7,0.6,-6,84,0.25,-27,0,1,False,0,0.5375,0.34809002666934696
207,True,18,3,16,1.0,16,50,0.2,4,0,1,False,0,0.4666666666666667,0.35645311547160274
208,True,16,2,45,0.6,-13,55,0.1,29,1,8,True,0,0.7875000000000001,0.2362907813126304
209,True,16,4,27,0.1,11,87,0.1,11,3,5,False,0,0.625,0.3855731664245668
210,False,16,1,8,1.0,8,71,0.01,3,0,1,True,0,0.8375,0.2552776266472772
211,True,16,5,72,0.4,-5,59,0.4,3,1,6,True,-1,0.6375,0.284897642437888
212,True,18,5,25,1.0,25,65,0.4,5,2,4,False,0,0.6000000000000001,0.3067859955389482
213,True,16,5,18,1.0,18,53,0.2,3,2,3,False,0,0.3875000000000001,0.3757215280851853
214,False,16,1,24,1.0,24,24,0.95,-15,2,7,False,0,0.4625,0.4425306015783918
214,True,15,3,24,1.0,24,24,0.95,-15,2,7,False,0,0.5733333333333334,0.3692979181920098
215,True,16,2,6,0.9,-34,45,0.1,13,1,6,False,0,0.925,0.17701224063135673
216,True,16,3,12,1.0,12,3,0.9,0,0,1,False,0,0.15,0.34641016151377546
217,False,16,1,-10,1.0,-10,3,0.6,-21,0,1,False,0,0.5499999999999999,0.3759432581299116
218,True,16,5,15,0.2,-16,-10,1.0,-10,0,1,False,0,0.4625,0.3774917217635375
219,False,16,1,-9,1.0,-9,9,0.05,-10,0,1,True,0,0.7000000000000001,0.3183289703016886
219,True,18,2,-9,1.0,-9,9,0.05,-10,0,1,True,0,0.8666666666666667,0.2566755791678991
220,True,16,3,60,0.25,-31,109,0.1,-18,0,1,False,0,0.425,0.37148351242013417
221,True,19,3,15,0.95,-45,12,1.0,12,1,4,True,0,0.6526315789473685,0.4046513191112561
222,True,17,3,-1,1.0,-1,9,0.1,2,0,1,False,0,0.8941176470588236,0.18864844365675973
223,False,16,1,25,1.0,25,46,0.1,16,0,1,True,0,0.55,0.3966526608171605
223,True,18,4,25,1.0,25,46,0.1,16,0,1,True,0,0.4888888888888888,0.3708319563755004
224,True,20,2,6,1.0,6,61,0.25,-3,0,1,True,0,0.57,0.37430637605829625
225,True,16,3,12,1.0,12,8,0.8,-18,1,2,False,0,0.1625,0.2552776266472773
226,True,16,4,90,0.4,-35,107,0.2,-5,1,4,False,0,0.425,0.3
227,False,16,1,16,0.25,15,102,0.4,-48,0,1,False,0,0.1875,0.26801741236966925
228,False,16,1,26,1.0,26,38,0.01,28,1,8,False,0,0.8,0.3098386676965933
229,False,16,1,-1,1.0,-1,36,0.25,-9,3,5,False,0,0.6,0.35777087639996635
230,False,16,1,78,0.2,-28,41,0.01,-6,1,2,False,0,0.5875,0.35378901433858384
231,True,16,4,5,0.25,1,2,1.0,2,1,2,False,0,0.6,0.3577708763999663
